Site,Manufacturer,Year,Processor,Accelerator/Co-Processor,Cores per Socket,Total Cores,Accelerator/Co-Processor Cores
"TU Dresden, ZIH","Bull, Atos Group",2015,Xeon E5-2680v3 12C 2.5GHz,None,12,34656,0
Laboratório Nacional de Computação Científica,"Bull, Atos Group",2015,Intel Xeon E5-2695v2 12C 2.4GHz,NVIDIA Tesla K40,12,10692,5940
Laboratório Nacional de Computação Científica,"Bull, Atos Group",2015,Intel Xeon E5-2695v2 12C 2.4GHz,Intel Xeon Phi 7120P,12,24732,6588
Laboratório Nacional de Computação Científica,"Bull, Atos Group",2015,Intel Xeon E5-2695v2 12C 2.4GHz,None,12,18144,0
University of Rijeka,"Bull, Atos Group",2015,Xeon E5-2690v3 12C 2.6GHz,None,12,6912,0
"TU Dresden, ZIH","Bull, Atos Group",2015,Xeon E5-2680v3 12C 2.5GHz,NVIDIA Tesla K80,12,3200,1664
National Supercomputer Centre (NSC),ClusterVision,2015,Xeon E5-2640v3 8C 2.6GHz,None,8,10256,0
DOE/NNSA/LANL/SNL,Cray Inc.,2015,Xeon E5-2698v3 16C 2.3GHz,None,16,301056,0
HLRS - Höchstleistungsrechenzentrum Stuttgart,Cray Inc.,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,185088,0
King Abdullah University of Science and Technology,Cray Inc.,2015,Xeon E5-2698v3 16C 2.3GHz,None,16,196608,0
Petroleum Geo-Services,Cray Inc.,2015,Xeon E5-2698v3 16C 2.3GHz,None,16,145920,0
Government,Cray Inc.,2015,Intel Xeon E5-2660v2 10C 2.2GHz,NVIDIA Tesla K40,10,72800,62400
Korea Meteorological Administration,Cray Inc.,2015,Xeon E5-2690v3 12C 2.6GHz,None,12,69600,0
Korea Meteorological Administration,Cray Inc.,2015,Xeon E5-2690v3 12C 2.6GHz,None,12,69600,0
NOAA,Cray Inc.,2015,Xeon E5-2690v3 12C 2.6GHz,None,12,48960,0
NOAA,Cray Inc.,2015,Xeon E5-2690v3 12C 2.6GHz,None,12,48960,0
Navy DSRC,Cray Inc.,2015,Xeon E5-2698v3 16C 2.3GHz,Intel Xeon Phi 5120D,16,61256,10248
Navy DSRC,Cray Inc.,2015,Xeon E5-2698v3 16C 2.3GHz,Intel Xeon Phi 5120D,16,61256,10248
Texas Advanced Computing Center/Univ. of Texas,Cray Inc.,2015,Xeon E5-2690v3 12C 2.6GHz,None,12,30048,0
"Supercomputer Education and Research Centre (SERC), Indian Institute of Science",Cray Inc.,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,31104,0
Stanford Research Computing Center,Cray Inc.,2015,Intel Xeon E5-2680v2  10C 2.8GHz,NVIDIA Tesla K80,10,14820,13520
"Indian Lattice Gauge Theory Initiative (ILGTI), Tata Institute of Fundamental Research (TIFR)",Cray Inc.,2015,Intel Xeon E5-2680v2  10C 2.8GHz,NVIDIA Tesla K20x,10,11424,6664
Sandia National Laboratories,Cray Inc.,2015,Xeon E5-2670 8C 2.6GHz,None,8,29584,0
NADC,Cray Inc.,2015,Xeon E5-2690v3 12C 2.6GHz,NVIDIA Tesla K80,12,9048,8112
Max-Planck-Gesellschaft MPI/IPP,Cray Inc.,2015,Xeon E5-2698v3 16C 2.3GHz,None,16,12800,0
Swiss National Supercomputing Centre (CSCS),Cray Inc.,2015,Xeon E5-2690v3 12C 2.6GHz,NVIDIA Tesla K80,12,5568,4992
Japan Advanced Institute of Science and Technology,Cray Inc.,2015,Xeon E5-2690v3 12C 2.6GHz,None,12,8640,0
DOE/SC/Argonne National Laboratory,Cray Inc.,2015,Xeon E5-2620v3 6C 2.4GHz,NVIDIA Tesla K80,6,4788,3276
University Heidelberg and University Mannheim,DALCO AG Switzerland,2015,Xeon E5-2630v3 8C 2.4GHz,None,8,6720,0
Saudi Aramco,Dell,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,76032,0
University of Florida,Dell,2015,Xeon E5-2698v3 16C 2.3GHz,None,16,29184,0
Maryland Advanced Research Computing Center,Dell,2015,Xeon E5-2680v3 12C 2.5GHz,NVIDIA Tesla K80,12,19872,2496
Hefei Internet Company,Dell,2015,Xeon E5-2650v3 10C 2GHz,NVIDIA Tesla K40m,10,5984,4516
Beijing B2C Internet Service,Dell,2015,Xeon E5-2640v3 8C 2.6GHz,NVIDIA Tesla K20m,8,5440,4160
Universitaet Regensburg,Eurotech,2015,Intel Xeon E3-1230Lv3 4C 1.8GHz,Intel Xeon Phi 7120X,4,15872,15616
